time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
0.005000,0.000000,-0.000154,-0.000005
0.010000,0.000000,-0.000931,-0.000005
0.015000,-0.000000,-0.002808,-0.000004
0.020000,-0.000001,-0.004264,-0.000015
0.025000,-0.000003,-0.006501,-0.000052
0.030000,-0.000003,-0.007953,-0.000075
0.035000,-0.000003,-0.009796,-0.000104
0.040000,-0.000002,-0.010683,-0.000101
0.045000,-0.000001,-0.011411,-0.000088
0.050000,0.000002,-0.011499,-0.000088
0.055000,0.000003,-0.011163,-0.000097
0.060000,0.000004,-0.010689,-0.000102
0.065000,0.000004,-0.009734,-0.000079
0.070000,0.000004,-0.008969,-0.000059
0.075000,0.000005,-0.007742,-0.000043
0.080000,0.000005,-0.006920,-0.000049
0.085000,0.000003,-0.005790,-0.000071
0.090000,0.000002,-0.005164,-0.000072
0.095000,0.000002,-0.004459,-0.000062
0.100000,0.000003,-0.004129,-0.000050
0.105000,0.000004,-0.003829,-0.000029
0.110000,0.000006,-0.003739,-0.000014
0.115000,0.000006,-0.003690,-0.000003
0.120000,0.000006,-0.003692,-0.000003
0.125000,0.000005,-0.003732,-0.000018
0.130000,0.000005,-0.003750,-0.000017
0.135000,0.000005,-0.003761,-0.000000
0.140000,0.000004,-0.003739,0.000017
0.145000,0.000003,-0.003661,0.000033
0.150000,0.000002,-0.003582,0.000052
0.155000,0.000001,-0.003427,0.000053
0.160000,0.000000,-0.003302,0.000055
0.165000,0.000001,-0.003109,0.000045
0.170000,0.000002,-0.002980,0.000036
0.175000,0.000003,-0.002768,-0.000000
0.180000,0.000003,-0.002616,-0.000037
0.185000,0.000005,-0.002380,-0.000049
0.190000,0.000006,-0.002244,-0.000027
0.195000,0.000007,-0.002011,0.000024
0.200000,0.000005,-0.001257,0.000049
0.205000,0.000003,0.000835,-0.000072
0.210000,-0.000001,0.002666,-0.000188
0.215000,-0.000014,0.005821,-0.000374
0.220000,-0.000030,0.008105,-0.000499
0.225000,-0.000069,0.011722,-0.000677
0.230000,-0.000104,0.014155,-0.000795
0.235000,-0.000174,0.017568,-0.000829
0.240000,-0.000225,0.019471,-0.000808
0.245000,-0.000302,0.021376,-0.000772
0.250000,-0.000353,0.021939,-0.000742
0.255000,-0.000424,0.021847,-0.000681
0.260000,-0.000468,0.021263,-0.000655
0.265000,-0.000530,0.019804,-0.000625
0.270000,-0.000569,0.018573,-0.000636
0.275000,-0.000625,0.016514,-0.000648
0.280000,-0.000659,0.015091,-0.000654
0.285000,-0.000706,0.012962,-0.000682
0.290000,-0.000735,0.011590,-0.000708
0.295000,-0.000774,0.009648,-0.000752
0.300000,-0.000798,0.008446,-0.000773
0.305000,-0.000829,0.006823,-0.000774
0.310000,-0.000847,0.005872,-0.000767
0.314999,-0.000870,0.004709,-0.000753
0.319999,-0.000882,0.004156,-0.000742
0.324999,-0.000898,0.003653,-0.000727
0.329999,-0.000907,0.003513,-0.000719
0.334999,-0.000920,0.003549,-0.000718
0.339999,-0.000928,0.003669,-0.000727
0.344999,-0.000940,0.003901,-0.000756
0.349999,-0.000949,0.004057,-0.000777
0.354999,-0.000966,0.004220,-0.000788
0.359999,-0.000978,0.004274,-0.000797
0.364999,-0.000997,0.004267,-0.000832
0.369999,-0.001010,0.004176,-0.000849
0.374999,-0.001029,0.003938,-0.000827
0.379999,-0.001042,0.003747,-0.000803
0.384999,-0.001061,0.003405,-0.000775
0.389999,-0.001072,0.003175,-0.000779
0.394998,-0.001088,0.002865,-0.000818
0.399998,-0.001097,0.002680,-0.000843
0.404998,-0.001111,0.002442,-0.000879
0.409998,-0.001122,0.002301,-0.000918
0.414998,-0.001138,0.002165,-0.000953
0.419998,-0.001147,0.002096,-0.000984
0.424998,-0.001161,0.002055,-0.001031
0.429998,-0.001168,0.002048,-0.001043
0.434998,-0.001178,0.002024,-0.001026
0.439998,-0.001185,0.001971,-0.001033
0.444998,-0.001195,0.001856,-0.001061
0.449998,-0.001202,0.001754,-0.001067
0.454998,-0.001213,0.001600,-0.001047
0.459998,-0.001220,0.001504,-0.001037
0.464998,-0.001229,0.001391,-0.001001
0.469997,-0.001236,0.001334,-0.000986
0.474997,-0.001244,0.001277,-0.000977
0.479997,-0.001250,0.001238,-0.000995
0.484997,-0.001259,0.001182,-0.001031
0.489997,-0.001264,0.001125,-0.001061
0.494997,-0.001272,0.001011,-0.001071
0.499997,-0.001277,0.000948,-0.001009
0.504997,-0.001281,0.000910,-0.000795
0.509997,-0.001284,0.000908,-0.000646
0.514997,-0.001286,0.000937,-0.000425
0.519997,-0.001286,0.000967,-0.000282
0.524997,-0.001285,0.000976,-0.000069
0.529997,-0.001286,0.000946,0.000056
0.534997,-0.001289,0.000860,0.000257
0.539997,-0.001290,0.000787,0.000388
0.544997,-0.001293,0.000603,0.000569
0.549996,-0.001296,0.000463,0.000690
0.554996,-0.001297,0.000253,0.000864
0.559996,-0.001296,0.000115,0.000963
0.564996,-0.001297,-0.000054,0.001110
0.569996,-0.001297,-0.000130,0.001210
0.574996,-0.001298,-0.000167,0.001346
0.579996,-0.001299,-0.000147,0.001428
0.584996,-0.001298,-0.000059,0.001575
0.589996,-0.001297,0.000037,0.001685
0.594996,-0.001295,0.000217,0.001853
0.599996,-0.001292,0.000361,0.001979
0.604996,-0.001286,0.000575,0.002183
0.609996,-0.001282,0.000706,0.002319
0.614996,-0.001276,0.000846,0.002525
0.619996,-0.001270,0.000898,0.002667
0.624996,-0.001261,0.000923,0.002889
0.629995,-0.001256,0.000918,0.003039
0.634995,-0.001246,0.000862,0.003260
0.639995,-0.001239,0.000814,0.003411
0.644995,-0.001229,0.000748,0.003620
0.649995,-0.001223,0.000699,0.003762
0.654995,-0.001218,0.000631,0.003975
0.659995,-0.001217,0.000588,0.004112
0.664995,-0.001216,0.000538,0.004290
0.669995,-0.001216,0.000516,0.004393
0.674995,-0.001213,0.000513,0.004546
0.679995,-0.001210,0.000529,0.004641
0.684995,-0.001204,0.000568,0.004783
0.689995,-0.001200,0.000611,0.004816
0.694995,-0.001195,0.000652,0.004794
0.699995,-0.001193,0.000658,0.004764
0.704994,-0.001191,0.000667,0.004745
0.709994,-0.001188,0.000676,0.004745
0.714994,-0.001185,0.000671,0.004735
0.719994,-0.001183,0.000656,0.004704
0.724994,-0.001183,0.000448,0.004660
0.729994,-0.001191,-0.000276,0.004517
0.734994,-0.001236,-0.002340,0.004293
0.739994,-0.001295,-0.004140,0.004103
0.744994,-0.001428,-0.007264,0.003781
0.749994,-0.001542,-0.009541,0.003552
0.754994,-0.001746,-0.013144,0.003203
0.759994,-0.001896,-0.015574,0.002972
0.764994,-0.002131,-0.018995,0.002685
0.769994,-0.002297,-0.020956,0.002608
0.774994,-0.002561,-0.022977,0.002544
0.779994,-0.002745,-0.023619,0.002521
0.784993,-0.003023,-0.023626,0.002508
0.789993,-0.003206,-0.023063,0.002507
0.794993,-0.003473,-0.021596,0.002523
0.799993,-0.003644,-0.020309,0.002548
0.804993,-0.003886,-0.018136,0.002600
0.809993,-0.004037,-0.016600,0.002633
0.814993,-0.004247,-0.014264,0.002676
0.819993,-0.004374,-0.012740,0.002716
0.824993,-0.004545,-0.010546,0.002785
0.829993,-0.004647,-0.009194,0.002832
0.834993,-0.004782,-0.007355,0.002885
0.839993,-0.004858,-0.006274,0.002925
0.844993,-0.004956,-0.004916,0.002990
0.849993,-0.005009,-0.004232,0.003017
0.854993,-0.005076,-0.003557,0.003030
0.859993,-0.005114,-0.003343,0.003023
0.864992,-0.005166,-0.003286,0.003026
0.869992,-0.005198,-0.003353,0.003032
0.874992,-0.005247,-0.003562,0.003045
0.879992,-0.005283,-0.003720,0.003052
0.884992,-0.005339,-0.003924,0.003076
0.889992,-0.005378,-0.004017,0.003090
0.894992,-0.005442,-0.004077,0.003118
0.899992,-0.005486,-0.004056,0.003136
0.904992,-0.005550,-0.003934,0.003141
0.909992,-0.005590,-0.003811,0.002952
0.914992,-0.005642,-0.003596,0.002209
0.919992,-0.005671,-0.003445,0.001394
0.924992,-0.005708,-0.003250,-0.000287
0.929992,-0.005726,-0.003113,-0.001533
0.934992,-0.005749,-0.002909,-0.003388
0.939991,-0.005761,-0.002799,-0.004563
0.944991,-0.005778,-0.002658,-0.006122
0.949991,-0.005789,-0.002573,-0.006917
0.954991,-0.005803,-0.002478,-0.007663
0.959991,-0.005805,-0.002448,-0.007844
0.964991,-0.005788,-0.002465,-0.007717
0.969991,-0.005767,-0.002502,-0.007425
