time, Quad.Roll, Quad.Est.Roll, Quad.Pitch, Quad.Est.Pitch, Quad.Yaw, Quad.Est.Yaw
0.005000,0.000015,0.000004,-0.000145,-0.000197,0.000000,0.000000
0.010000,0.000052,0.000032,-0.002489,-0.002033,0.000002,0.000002
0.015000,0.000096,0.000084,-0.009476,-0.010439,0.000002,0.000002
0.020000,0.000107,0.000094,-0.022324,-0.020714,-0.000003,-0.000002
0.025000,0.000030,0.000003,-0.041351,-0.043549,-0.000014,-0.000015
0.030000,-0.000141,-0.000135,-0.066499,-0.063681,-0.000027,-0.000025
0.035000,-0.000396,-0.000442,-0.097117,-0.100407,-0.000035,-0.000037
0.040000,-0.000690,-0.000679,-0.131923,-0.128282,-0.000036,-0.000039
0.045000,-0.000940,-0.000980,-0.169297,-0.173110,-0.000029,-0.000032
0.050000,-0.001186,-0.001175,-0.207548,-0.203741,-0.000011,-0.000018
0.055000,-0.001455,-0.001496,-0.245245,-0.248970,0.000020,0.000016
0.060000,-0.001751,-0.001734,-0.281266,-0.277808,0.000059,0.000047
0.065000,-0.002011,-0.002045,-0.314802,-0.318056,0.000105,0.000099
0.070000,-0.002185,-0.002183,-0.345287,-0.342457,0.000154,0.000138
0.075000,-0.002303,-0.002325,-0.372388,-0.374990,0.000209,0.000203
0.080000,-0.002427,-0.002421,-0.396006,-0.393891,0.000264,0.000246
0.085000,-0.002606,-0.002637,-0.416329,-0.418301,0.000316,0.000309
0.090000,-0.002819,-0.002808,-0.433796,-0.432273,0.000367,0.000349
0.095000,-0.003006,-0.003032,-0.449058,-0.450612,0.000420,0.000412
0.100000,-0.003157,-0.003153,-0.462707,-0.461532,0.000476,0.000456
0.105000,-0.003249,-0.003263,-0.475302,-0.476672,0.000536,0.000527
0.110000,-0.003283,-0.003291,-0.487330,-0.486300,0.000601,0.000580
0.115000,-0.003273,-0.003280,-0.499115,-0.500459,0.000670,0.000663
0.120000,-0.003258,-0.003267,-0.510820,-0.509833,0.000738,0.000717
0.125000,-0.003281,-0.003293,-0.522556,-0.523934,0.000802,0.000794
0.130000,-0.003313,-0.003318,-0.534351,-0.533381,0.000867,0.000846
0.135000,-0.003322,-0.003327,-0.546156,-0.547559,0.000932,0.000924
0.140000,-0.003255,-0.003271,-0.557876,-0.556948,0.000992,0.000972
0.145000,-0.003143,-0.003138,-0.569373,-0.570758,0.001050,0.001042
0.150000,-0.002961,-0.002991,-0.580534,-0.579698,0.001103,0.001085
0.155000,-0.002753,-0.002741,-0.591252,-0.592574,0.001152,0.001144
0.160000,-0.002542,-0.002572,-0.601448,-0.600741,0.001195,0.001178
0.165000,-0.002347,-0.002338,-0.611062,-0.612294,0.001235,0.001228
0.170000,-0.002189,-0.002210,-0.620097,-0.619531,0.001280,0.001264
0.175000,-0.002115,-0.002122,-0.628528,-0.629661,0.001327,0.001321
0.180000,-0.002173,-0.002171,-0.636300,-0.635887,0.001374,0.001358
0.185000,-0.002307,-0.002329,-0.643388,-0.644407,0.001425,0.001419
0.190000,-0.002386,-0.002393,-0.649824,-0.649561,0.001481,0.001464
0.195000,-0.002335,-0.002333,-0.655683,-0.656591,0.001542,0.001536
0.200000,-0.002161,-0.002193,-0.659435,-0.659649,0.001599,0.001582
0.205000,-0.001951,-0.002064,-0.658149,-0.658087,0.001652,0.001645
0.210000,-0.001732,-0.002013,-0.649745,-0.651394,0.001696,0.001679
0.215000,-0.001498,-0.001916,-0.632878,-0.631154,0.001731,0.001711
